Country,Year,Indicator,Value
United States,2011,GDP ($Bn),15599.7315
United States,2012,GDP ($Bn),16253.970000000001
United States,2013,GDP ($Bn),16880.683250000002
United States,2014,GDP ($Bn),17608.13825
United States,2015,GDP ($Bn),18295.019
United States,2016,GDP ($Bn),18804.91325
United States,2017,GDP ($Bn),19612.1025
United States,2018,GDP ($Bn),20656.5155
United States,2019,GDP ($Bn),21521.395
United States,2020,GDP ($Bn),21322.9495
India,2011,GDP ($Bn),1823.0518299008102
India,2012,GDP ($Bn),1827.63759078719
India,2013,GDP ($Bn),1856.72150768108
India,2014,GDP ($Bn),2039.1264792281102
India,2015,GDP ($Bn),2103.58836006632
India,2016,GDP ($Bn),2294.7968856825496
India,2017,GDP ($Bn),2651.47426273528
India,2018,GDP ($Bn),2702.9296417073797
India,2019,GDP ($Bn),2835.60625661603
India,2020,GDP ($Bn),2671.59540598686
United States,2011,Imports ($Bn),2266.024
United States,2012,Imports ($Bn),2336.524
United States,2013,Imports ($Bn),2329.06
United States,2014,Imports ($Bn),2412.547
United States,2015,Imports ($Bn),2315.301
United States,2016,Imports ($Bn),2250.154
United States,2017,Imports ($Bn),2408.476
United States,2018,Imports ($Bn),2614.221
United States,2019,Imports ($Bn),2567.445
United States,2020,Imports ($Bn),2406.932
India,2011,Imports ($Bn),464.462
India,2012,Imports ($Bn),489.694
India,2013,Imports ($Bn),465.397
India,2014,Imports ($Bn),462.91
India,2015,Imports ($Bn),394.131
India,2016,Imports ($Bn),361.649
India,2017,Imports ($Bn),449.925
India,2018,Imports ($Bn),514.464
India,2019,Imports ($Bn),486.059
India,2020,Imports ($Bn),373.202
